cls,xref
DOID:13374,SNOMEDCT_2010_1_31:240121004
DOID:13374,SNOMEDCT_2010_1_31:82725007
DOID:13374,NCI:C3040
DOID:13211,SNOMEDCT_2010_1_31:188465004
DOID:13211,UMLS_CUI:C0153688
DOID:13211,SNOMEDCT_2010_1_31:188462001
DOID:13211,ICD9CM:198.3
DOID:5199,UMLS_CUI:C0029866
DOID:5199,SNOMEDCT_2010_1_31:197807001
DOID:5199,ICD9CM:593.4
DOID:10487,ICD10CM:Q43.1
DOID:10487,SNOMEDCT_2010_1_31:156957008
DOID:10487,OMIM:613712
DOID:10487,SNOMEDCT_2010_1_31:204742002
DOID:10487,UMLS_CUI:C0019569
DOID:10487,OMIM:613711
DOID:10487,SNOMEDCT_2010_1_31:6687001
DOID:10487,SNOMEDCT_2010_1_31:204744001
DOID:10487,SNOMEDCT_2010_1_31:360436002
DOID:10487,ICD9CM:751.3
DOID:10487,MSH:D006627
DOID:10487,OMIM:600155
DOID:10487,OMIM:202550
DOID:10487,EFOpat_id:647
DOID:10487,SNOMEDCT_2010_1_31:204738000
DOID:10487,ORDO:388
DOID:10487,NCI:C34700
DOID:10487,OMIM:142623
DOID:10487,SNOMEDCT_2010_1_31:204739008
DOID:10487,SNOMEDCT_2010_1_31:367495003
DOID:859,SNOMEDCT_2010_1_31:360369003
DOID:859,SNOMEDCT_2010_1_31:237956003
DOID:859,OMIM:253270
DOID:859,SNOMEDCT_2010_1_31:15307001
DOID:859,MSH:D028922
DOID:859,SNOMEDCT_2010_1_31:360367001
DOID:859,UMLS_CUI:C0268581
DOID:5287,UMLS_CUI:C1335743
DOID:5287,NCI:C6183
DOID:1666,SNOMEDCT_2010_1_31:202861009
DOID:1666,SNOMEDCT_2010_1_31:156661004
DOID:1666,ICD9CM:726.5
DOID:1666,UMLS_CUI:C0158312
DOID:1666,SNOMEDCT_2010_1_31:202866004
DOID:1666,SNOMEDCT_2010_1_31:202862002
DOID:1666,SNOMEDCT_2010_1_31:30936004
DOID:5369,UMLS_CUI:C0032306
DOID:5369,MSH:D011021
DOID:5369,SNOMEDCT_2010_1_31:48722001
DOID:174,UMLS_CUI:C0846967
DOID:174,NCI:C7419
DOID:174,MSH:D049309
DOID:12206,SNOMEDCT_2010_1_31:20927009
DOID:12206,UMLS_CUI:C0019100
DOID:12206,SNOMEDCT_2010_1_31:186599009
DOID:12206,MSH:D019595
DOID:12206,SNOMEDCT_2010_1_31:186598001
DOID:12206,NCI:C34683
DOID:12019,UMLS_CUI:C0375324
DOID:12019,ICD9CM:482.31
DOID:8178,UMLS_CUI:C1516406
DOID:8178,NCI:C40233
DOID:8659,MSH:D002644
DOID:8659,SNOMEDCT_2010_1_31:38907003
DOID:8659,ICD9CM:052
DOID:8659,SNOMEDCT_2010_1_31:154325003
DOID:8659,UMLS_CUI:C0008049
DOID:8659,SNOMEDCT_2010_1_31:186508005
DOID:5457,UMLS_CUI:C1334374
DOID:5457,NCI:C6023
DOID:4288,UMLS_CUI:C1333492
DOID:4288,NCI:C6081
DOID:262,SNOMEDCT_2010_1_31:254923001
DOID:262,NCI:C4527
DOID:262,UMLS_CUI:C0346256
DOID:12107,ICD9CM:361.13
DOID:12107,SNOMEDCT_2010_1_31:28157000
DOID:12107,UMLS_CUI:C0154819
DOID:5545,UMLS_CUI:C1332273
DOID:5545,NCI:C5603
DOID:4376,UMLS_CUI:C0079840
DOID:4376,MSH:D016269
DOID:8079,UMLS_CUI:C1334799
DOID:8079,NCI:C7238
DOID:350,NCI:C84269
DOID:350,SNOMEDCT_2010_1_31:125541005
DOID:350,MSH:D008415
DOID:350,UMLS_CUI:C0024899
DOID:350,SNOMEDCT_2010_1_31:397007003
DOID:350,OMIM:154800
DOID:350,SNOMEDCT_2010_1_31:78745000
DOID:6285,UMLS_CUI:C1332849
DOID:6285,NCI:C6741
DOID:2215,MSH:D005168
DOID:2215,SNOMEDCT_2010_1_31:154820003
DOID:2215,SNOMEDCT_2010_1_31:37193007
DOID:2215,UMLS_CUI:C0015503
DOID:0050640,OMIM:607095
DOID:7326,UMLS_CUI:C1333162
DOID:7326,NCI:C27248
DOID:7139,UMLS_CUI:C1516858
DOID:7139,NCI:C40155
DOID:11150,ICD9CM:365.82
DOID:11150,UMLS_CUI:C0339596
DOID:11150,SNOMEDCT_2010_1_31:34623005
DOID:8331,UMLS_CUI:C1335382
DOID:8331,NCI:C6526
DOID:17,SNOMEDCT_2010_1_31:274149006
DOID:17,SNOMEDCT_2010_1_31:268047003
DOID:17,UMLS_CUI:C0026857
DOID:17,SNOMEDCT_2010_1_31:268142006
DOID:17,SNOMEDCT_2010_1_31:928000
DOID:17,SNOMEDCT_2010_1_31:156881000
DOID:17,MSH:D009140
DOID:10240,UMLS_CUI:C0153663
DOID:10240,ICD9CM:195.3
DOID:10240,SNOMEDCT_2010_1_31:188370005
DOID:10240,SNOMEDCT_2010_1_31:363484005
DOID:10240,SNOMEDCT_2010_1_31:93953009
DOID:11033,ICD9CM:371.21
DOID:11033,SNOMEDCT_2010_1_31:193813009
DOID:11033,UMLS_CUI:C0155109
DOID:11033,SNOMEDCT_2010_1_31:1794009
DOID:9379,UMLS_CUI:C0339593
DOID:9379,SNOMEDCT_2010_1_31:37155002
DOID:9379,ICD9CM:365.62
DOID:4471,UMLS_CUI:C1266042
DOID:4471,SNOMEDCT_2010_1_31:1443001
DOID:4471,MSH:D002292
DOID:4471,SNOMEDCT_2010_1_31:128667008
DOID:4471,NCI:C4146
DOID:12070,UMLS_CUI:C1135229
DOID:12070,ICD9CM:537.84
DOID:11121,SNOMEDCT_2010_1_31:32620007
DOID:11121,UMLS_CUI:C0034103
DOID:11121,SNOMEDCT_2010_1_31:196331007
DOID:11121,SNOMEDCT_2010_1_31:155638006
DOID:11121,MSH:D011671
DOID:11121,ICD9CM:522.0
DOID:11121,NCI:C52595
DOID:4719,UMLS_CUI:C0334552
DOID:4719,NCI:C4304
DOID:4719,SNOMEDCT_2010_1_31:10069009
DOID:6867,UMLS_CUI:C1334657
DOID:6867,NCI:C37870
DOID:10652,OMIM:607822
DOID:10652,NCI:C2866
DOID:10652,NCI:C38778
DOID:10652,OMIM:605526
DOID:10652,OMIM:607116
DOID:10652,OMIM:609790
DOID:10652,MSH:D000544
DOID:10652,OMIM:502500
DOID:10652,OMIM:602096
DOID:10652,MSH:C536597
DOID:10652,ICD10CM:G30
DOID:10652,OMIM:615590
DOID:10652,OMIM:611073
DOID:10652,EFO:0000249
DOID:10652,OMIM:606187
DOID:10652,SNOMEDCT_2010_1_31:192160005
DOID:10652,SNOMEDCT_2010_1_31:192164001
DOID:10652,OMIM:611154
DOID:10652,OMIM:608907
DOID:10652,OMIM:611155
DOID:10652,OMIM:615080
DOID:10652,SNOMEDCT_2010_1_31:26929004
DOID:10652,OMIM:300756
DOID:10652,UMLS_CUI:C0002395
DOID:10652,SNOMEDCT_2010_1_31:154998003
DOID:10652,OMIM:615711
DOID:10652,KEGG:05010
DOID:10652,OMIM:611152
DOID:10652,OMIM:604154
DOID:10652,OMIM:104300
DOID:10652,OMIM:606889
DOID:10652,OMIM:609636
DOID:10652,SNOMEDCT_2010_1_31:267688001
DOID:10652,OMIM:104310
DOID:10652,SNOMEDCT_2010_1_31:73768007
DOID:10652,ICD9CM:331.0
DOID:6955,UMLS_CUI:C1334243
DOID:6955,NCI:C5442
DOID:6088,ICD9CM:308.3
DOID:6088,SNOMEDCT_2010_1_31:192043003
DOID:6088,UMLS_CUI:C0029488
DOID:6088,SNOMEDCT_2010_1_31:192040000
DOID:6107,UMLS_CUI:C1334671
DOID:6107,NCI:C6444
DOID:14456,ICD9CM:023.0
DOID:14456,UMLS_CUI:C0302362
DOID:14456,SNOMEDCT_2010_1_31:30789005
DOID:14456,SNOMEDCT_2010_1_31:427999003
DOID:2217,OMIM:153670
DOID:2217,SNOMEDCT_2010_1_31:191309003
DOID:2217,OMIM:231200
DOID:2217,SNOMEDCT_2010_1_31:54569005
DOID:2217,NCI:C84595
DOID:2217,MSH:D001606
DOID:2217,UMLS_CUI:C0005129
DOID:2217,SNOMEDCT_2010_1_31:234478007
DOID:7894,UMLS_CUI:C0026229
DOID:7894,SNOMEDCT_2010_1_31:187214007
DOID:7894,SNOMEDCT_2010_1_31:266224002
DOID:7894,SNOMEDCT_2010_1_31:240885009
DOID:7894,ICD9CM:133.9
DOID:7894,MSH:D008924
DOID:7894,SNOMEDCT_2010_1_31:187217000
DOID:7894,ICD9CM:133
DOID:7894,SNOMEDCT_2010_1_31:78166003
DOID:7894,SNOMEDCT_2010_1_31:154422001
DOID:2596,SNOMEDCT_2010_1_31:187851007
DOID:2596,SNOMEDCT_2010_1_31:363429002
DOID:2596,SNOMEDCT_2010_1_31:154484002
DOID:2596,UMLS_CUI:C0007107
DOID:2596,NCI:C7484
DOID:2596,ICD9CM:161.9
DOID:2596,SNOMEDCT_2010_1_31:93859007
DOID:2596,MSH:D007822
DOID:2596,SNOMEDCT_2010_1_31:269560007
DOID:2596,ICD9CM:161
DOID:8941,UMLS_CUI:C0221244
DOID:8941,SNOMEDCT_2010_1_31:156327009
DOID:8941,SNOMEDCT_2010_1_31:201177005
DOID:8941,SNOMEDCT_2010_1_31:48596006
DOID:8941,SNOMEDCT_2010_1_31:28431005
DOID:8941,SNOMEDCT_2010_1_31:200764003
DOID:8941,ICD9CM:690.11
DOID:8941,SNOMEDCT_2010_1_31:77592001
DOID:8941,SNOMEDCT_2010_1_31:200763009
DOID:8941,SNOMEDCT_2010_1_31:400201008
DOID:8941,SNOMEDCT_2010_1_31:156329007
DOID:8736,SNOMEDCT_2010_1_31:47452006
DOID:8736,MSH:D012899
DOID:8736,NCI:C35027
DOID:8736,UMLS_CUI:C0037354
DOID:8736,SNOMEDCT_2010_1_31:266193008
DOID:8736,SNOMEDCT_2010_1_31:154344005
DOID:8736,SNOMEDCT_2010_1_31:67924001
DOID:8736,ICD9CM:050
DOID:8736,ICD9CM:050.9
DOID:8736,SNOMEDCT_2010_1_31:186505008
DOID:14250,NCI:C43224
DOID:14250,NCI:C2993
DOID:14250,SNOMEDCT_2010_1_31:254263008
DOID:14250,SNOMEDCT_2010_1_31:205614001
DOID:14250,SNOMEDCT_2010_1_31:41040004
DOID:14250,MSH:D004314
DOID:14250,SNOMEDCT_2010_1_31:205618003
DOID:14250,OMIM:190685
DOID:14250,ICD9CM:758.0
DOID:14250,SNOMEDCT_2010_1_31:157019002
DOID:14250,UMLS_CUI:C0013080
DOID:14063,UMLS_CUI:C0156223
DOID:14063,ICD9CM:580.4
DOID:14544,UMLS_CUI:C0863024
DOID:14544,NCI:C8955
DOID:10939,SNOMEDCT_2010_1_31:191777000
DOID:10939,UMLS_CUI:C0003431
DOID:10939,ICD9CM:301.7
DOID:10939,SNOMEDCT_2010_1_31:191769004
DOID:10939,SNOMEDCT_2010_1_31:26665006
DOID:10939,MSH:D000987
DOID:10939,SNOMEDCT_2010_1_31:268759009
DOID:10939,SNOMEDCT_2010_1_31:192487000
DOID:5622,SNOMEDCT_2010_1_31:200202003
DOID:5622,SNOMEDCT_2010_1_31:267360003
DOID:5622,UMLS_CUI:C0157489
DOID:5622,SNOMEDCT_2010_1_31:200199008
DOID:5622,SNOMEDCT_2010_1_31:40125005
DOID:5622,SNOMEDCT_2010_1_31:156263007
DOID:5622,ICD9CM:670.0
DOID:5622,SNOMEDCT_2010_1_31:200198000
DOID:5622,SNOMEDCT_2010_1_31:200178005
DOID:5622,ICD9CM:670
DOID:9745,SNOMEDCT_2010_1_31:211490002
DOID:9745,SNOMEDCT_2010_1_31:155474006
DOID:9745,SNOMEDCT_2010_1_31:26373009
DOID:9745,SNOMEDCT_2010_1_31:157525008
DOID:9745,UMLS_CUI:C0155784
DOID:9745,ICD9CM:455.4
DOID:9745,SNOMEDCT_2010_1_31:269372002
DOID:1042,SNOMEDCT_2010_1_31:66844003
DOID:1042,ICD9CM:659.3
DOID:1042,UMLS_CUI:C0157179
DOID:0050589,OMIM:612278
DOID:0050589,OMIM:606668
DOID:0050589,OMIM:612380
DOID:0050589,OMIM:606348
DOID:0050589,OMIM:608448
DOID:0050589,OMIM:606675
DOID:0050589,OMIM:612255
DOID:0050589,OMIM:606674
DOID:0050589,OMIM:613148
DOID:0050589,OMIM:612262
DOID:0050589,OMIM:612245
DOID:0050589,MSH:D015212
DOID:0050589,OMIM:612261
DOID:0050589,OMIM:601458
DOID:0050589,OMIM:612259
DOID:0050589,OMIM:266600
DOID:0050589,OMIM:611081
DOID:0050589,OMIM:605225
DOID:0050589,OMIM:612381
DOID:0050589,OMIM:612796
DOID:0050589,OMIM:604519
DOID:0050589,OMIM:612288
