NCBITaxon:69826  	# Ornithodoros savignyi
NCBITaxon:7158  	# Aedes <genus>
NCBITaxon:7162  	# Ochlerotatus triseriatus
NCBITaxon:7164  	# Anopheles <genus>
NCBITaxon:7165  	# Anopheles gambiae
NCBITaxon:7174  	# Culex <genus>
NCBITaxon:7178  	# Culex tritaeniorhynchus
NCBITaxon:7180  	# Haemagogus <genus>
NCBITaxon:723  	  	# Actinobacillus ureae
NCBITaxon:730  	  	# Haemophilus ducreyi
NCBITaxon:73230  	# Emmonsia crescens
NCBITaxon:747  	  	# Pasteurella multocida
NCBITaxon:774  	  	# Bartonella bacilliformis
NCBITaxon:777  	  	# Coxiella burnetii
NCBITaxon:780  	  	# Rickettsia
NCBITaxon:781  	  	# Rickettsia conorii
NCBITaxon:782  	  	# Rickettsia prowazekii
NCBITaxon:783  	  	# Rickettsia rickettsii
NCBITaxon:784  	  	# Orientia tsutsugamushi
NCBITaxon:785  	  	# Rickettsia typhi
NCBITaxon:786  	  	# Rickettsia akari
NCBITaxon:787  	  	# Rickettsia australis
NCBITaxon:7955  	# Danio rerio
NCBITaxon:7962  	# Cyprinus carpio
NCBITaxon:79923		# Clonorchis sinensis
NCBITaxon:8022		# Oncorhynchus mykiss
NCBITaxon:803  	  	# Bartonella quintana
NCBITaxon:8030		# Salmo salar
NCBITaxon:8049  	# Gadus morhua
NCBITaxon:813  	  	# Chlamydia trachomatis
NCBITaxon:83554		# Chlamydia psittaci
NCBITaxon:83558		# Chlamydia pneumoniae
NCBITaxon:85552  	# Scylla paramamosain
NCBITaxon:86056  	# Rhinocladiella mackenziei
NCBITaxon:89940  	# Cladophialophora bantiana
NCBITaxon:9031  	# Gallus gallus
NCBITaxon:91493  	# Exserohilum
NCBITaxon:945  	  	# Ehrlichia chaffeensis
NCBITaxon:948  	  	# Anaplasma phagocytophilum
NCBITaxon:951  	  	# Neorickettsia sennetsu
NCBITaxon:9913  	# Bos taurus
NCBITaxon:9925  	# Capra hircus
NCBITaxon:2697049	# Severe acute respiratory syndrome coronavirus 2
NCBITaxon:1335626	# Middle East respiratory syndrome-related coronavirus
NCBITaxon:10359		# Human betaherpesvirus 5
